Scope,Market,Line,Over Odds,Under Odds,Away Odds,Tie Odds,Home Odds
TOTAL,3PM,17.5,1.98,1.72,,,
CON,3PM,6.5,1.62,2.15,,,
GSV,3PM,10.5,2.05,1.65,,,
TOTAL,REB,68.5,1.91,1.75,,,
CON,REB,31.5,1.85,1.83,,,
GSV,REB,36.5,1.85,1.82,,,
TOTAL,AST,35.5,1.85,1.82,,,
CON,AST,16.5,1.93,1.75,,,
GSV,AST,19.5,1.98,1.7,,,
TOTAL,STL,13.5,1.75,1.93,,,
CON,STL,6.5,2.1,1.62,,,
GSV,STL,7.5,1.8,1.87,,,
TOTAL,BLK,7.5,1.91,1.78,,,
CON,BLK,3.5,1.72,1.95,,,
GSV,BLK,3.5,1.82,1.87,,,
TOTAL,TOV,25.5,1.95,1.75,,,
CON,TOV,13.5,1.7,2.0,,,
GSV,TOV,11.5,2.02,1.67,,,
TOTAL,PF,39.5,1.95,1.75,,,
CON,PF,19.5,1.75,1.91,,,
GSV,PF,19.5,1.93,1.75,,,
TOTAL,FTM,27.5,1.82,1.85,,,
CON,FTM,13.5,1.91,1.75,,,
GSV,FTM,13.5,1.75,1.93,,,
TOTAL,2PM,36.5,1.95,1.75,,,
CON,2PM,16.5,1.7,2.0,,,
GSV,2PM,19.5,1.98,1.7,,,
TOTAL,FTA,38.5,1.82,1.85,,,
CON,FTA,19.5,1.78,1.9,,,
GSV,FTA,18.5,1.87,1.8,,,
TOTAL,3PA,53.5,1.75,1.93,,,
CON,3PA,23.5,1.83,1.83,,,
GSV,3PA,30.5,1.85,1.82,,,
TOTAL,2PA,78.5,1.78,1.9,,,
CON,2PA,39.5,1.72,1.95,,,
GSV,2PA,38.5,1.75,1.93,,,
TOTAL,OREB,15.5,1.72,1.95,,,
CON,OREB,6.5,1.75,1.93,,,
GSV,OREB,9.5,2.05,1.65,,,
TOTAL,DREB,52.5,1.93,1.75,,,
CON,DREB,24.5,1.78,1.9,,,
GSV,DREB,27.5,1.9,1.78,,,
MOST,3PM,,,,5.4,12.5,1.18
MOST,3PA,,,,5.4,15.5,1.15
MOST,2PM,,,,2.92,9.25,1.5
MOST,2PA,,,,1.72,13.0,2.15
MOST,FTM,,,,2.05,13.5,1.78
MOST,FTA,,,,1.7,17.5,2.1
MOST,REB,,,,2.9,11.75,1.4
MOST,OREB,,,,3.15,8.25,1.4
MOST,DREB,,,,2.85,10.25,1.42
MOST,AST,,,,3.4,9.0,1.35
MOST,STL,,,,2.82,6.9,1.5
MOST,BLK,,,,1.98,4.8,2.12
MOST,TOV,,,,1.37,8.5,3.35
MOST,PF,,,,1.67,9.5,2.42
